نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني,الرياض,امارة منطقة الرياض,شمالية,1650,8000.0,13200000
أرض,سكني,الرياض,امارة منطقة الرياض,غربية,2250,888.0,1998000
أرض,تجاري وسكني,الرياض,النسيم الشرقي,شمالية,840,2500.0,2100000
أرض,تجاري وسكني,الرياض,ضاحية نمار,شمالية,1060,2000.0,2120000
أرض,سكني,الرياض,الرياض,جنوبية,540,2500.0,1350000
أرض,سكني,الرياض,النرجس,شمالية,900,4000.0,3600000
أرض,سكني,الرياض,الملك فيصل,جنوبية,1089,3350.0,3648150
أرض,سكني,الرياض,النرجس,شمالية,455,4800.0,2184000
أرض,سكني,الرياض,النرجس,شمالية غربية,900,4800.0,4320000
أرض,سكني,الرياض,النرجس,شمالية غربية,900,4800.0,4320000
أرض,سكني,الرياض,المهدية,شمالية,300,3500.0,1050000
أرض,سكني,الرياض,المونسية,جنوبية,300,4400.0,1320000
أرض,سكني,الرياض,ظهرة لبن,جنوبية,450,2700.0,1215000
أرض,سكني,حريملاء,الرياض,جنوبية,742,1400.0,1038800
أرض,سكني,الرياض,الرياض,جنوبية,300,4400.0,1320000
أرض,سكني,حريملاء,الرياض,جنوبية,300,4400.0,1320000
أرض,سكني,الرياض,القادسية,جنوبية شرقية,510,4019.0,2049690
أرض,سكني,الرياض,الرياض,شمالية شرقية,900,4019.0,3617100
أرض,سكني,الرياض,المونسية,شمالية,500,4200.0,2100000
أرض,سكني,الرياض,ظهرة لبن,جنوبية,400,2625.0,1050000
أرض,تجاري وسكني,الرياض,ثليم,جنوبية غربية,340,4400.0,1496000
أرض,تجاري وسكني,الرياض,ثليم,جنوبية غربية,432,4400.0,1900800
أرض,تجاري وسكني,الرياض,ظهرة لبن,جنوبية,450,4400.0,1980000
أرض,تجاري وسكني,الرياض,ظهرة لبن,جنوبية شرقية,2327,859.0,1998893
أرض,تجاري وسكني,الرياض,الياسمين,جنوبية,1500,6700.0,10050000
أرض,تجاري وسكني,الرياض,النرجس,شمالية,455,4800.0,2184000
أرض,تجاري وسكني,الرياض,عريض,شمالية,785,1350.0,1059750
